year,series,value
1946,historical,9.9
1947,historical,7.55
1948,historical,5.71
1949,historical,5.53
1950,historical,5.97
1951,historical,5.47
1952,historical,5.3
1953,historical,5.42
1954,historical,5.17
1955,historical,5.59
1956,historical,5.67
1957,historical,5.76
1958,historical,6.44
1959,historical,7.02
1960,historical,7.4
1961,historical,7.21
1962,historical,7.5
1963,historical,7.29
1964,historical,7.2
1965,historical,7.72
1966,historical,7.57
1967,historical,7.54
1968,historical,7.08
1969,historical,7.11
1970,historical,6.5
1971,historical,6.08
1972,historical,5.65
1973,historical,5.24
1974,historical,3.77
1975,historical,3.92
1976,historical,3.86
1977,historical,3.73
1978,historical,4.14
1979,historical,3.5
1980,historical,3.09
1981,historical,3.43
1982,historical,3.437
1983,historical,3.333
1984,historical,3.54
1985,historical,3.542
1986,historical,3.701
1987,historical,3.723
1988,historical,3.624
1989,historical,3.543
1990,historical,3.28
1991,historical,3.232
1992,historical,3.238
1993,historical,3.218
1994,historical,3.035
1995,historical,2.468
1996,historical,2.232
1997,historical,2.069
1998,historical,1.975
1999,historical,1.781
2000,historical,1.59
2001,historical,1.65
2002,historical,1.556
2003,historical,1.547
2004,historical,1.438
2005,historical,1.375
2006,historical,1.312
2007,historical,1.345
2008,historical,1.273
2009,historical,1.353
2010,historical,1.374
2011,historical,1.337
2012,historical,1.338
2013,historical,1.421
2014,historical,1.436
2015,historical,1.529
2016,historical,1.552
2017,historical,1.486
2018,historical,1.941
2019,historical,2.944
2020,historical,2.845
2021,historical,3.011
2022,historical,3.005
2023,historical,2.487
2024,historical,2.418
2024,projected_postsub,2.418
2025,projected_postsub,14.3491128685741
2024,projected_presub,2.418
2025,projected_presub,16.8777713913239
1790,current_average_postsub,14.3491128685741
1791,current_average_postsub,14.3491128685741
1792,current_average_postsub,14.3491128685741
1793,current_average_postsub,14.3491128685741
1794,current_average_postsub,14.3491128685741
1795,current_average_postsub,14.3491128685741
1796,current_average_postsub,14.3491128685741
1797,current_average_postsub,14.3491128685741
1798,current_average_postsub,14.3491128685741
1799,current_average_postsub,14.3491128685741
1800,current_average_postsub,14.3491128685741
1801,current_average_postsub,14.3491128685741
1802,current_average_postsub,14.3491128685741
1803,current_average_postsub,14.3491128685741
1804,current_average_postsub,14.3491128685741
1805,current_average_postsub,14.3491128685741
1806,current_average_postsub,14.3491128685741
1807,current_average_postsub,14.3491128685741
1808,current_average_postsub,14.3491128685741
1809,current_average_postsub,14.3491128685741
1810,current_average_postsub,14.3491128685741
1811,current_average_postsub,14.3491128685741
1812,current_average_postsub,14.3491128685741
1813,current_average_postsub,14.3491128685741
1814,current_average_postsub,14.3491128685741
1815,current_average_postsub,14.3491128685741
1816,current_average_postsub,14.3491128685741
1817,current_average_postsub,14.3491128685741
1818,current_average_postsub,14.3491128685741
1819,current_average_postsub,14.3491128685741
1820,current_average_postsub,14.3491128685741
1821,current_average_postsub,14.3491128685741
1822,current_average_postsub,14.3491128685741
1823,current_average_postsub,14.3491128685741
1824,current_average_postsub,14.3491128685741
1825,current_average_postsub,14.3491128685741
1826,current_average_postsub,14.3491128685741
1827,current_average_postsub,14.3491128685741
1828,current_average_postsub,14.3491128685741
1829,current_average_postsub,14.3491128685741
1830,current_average_postsub,14.3491128685741
1831,current_average_postsub,14.3491128685741
1832,current_average_postsub,14.3491128685741
1833,current_average_postsub,14.3491128685741
1834,current_average_postsub,14.3491128685741
1835,current_average_postsub,14.3491128685741
1836,current_average_postsub,14.3491128685741
1837,current_average_postsub,14.3491128685741
1838,current_average_postsub,14.3491128685741
1839,current_average_postsub,14.3491128685741
1840,current_average_postsub,14.3491128685741
1841,current_average_postsub,14.3491128685741
1842,current_average_postsub,14.3491128685741
1843,current_average_postsub,14.3491128685741
1844,current_average_postsub,14.3491128685741
1845,current_average_postsub,14.3491128685741
1846,current_average_postsub,14.3491128685741
1847,current_average_postsub,14.3491128685741
1848,current_average_postsub,14.3491128685741
1849,current_average_postsub,14.3491128685741
1850,current_average_postsub,14.3491128685741
1851,current_average_postsub,14.3491128685741
1852,current_average_postsub,14.3491128685741
1853,current_average_postsub,14.3491128685741
1854,current_average_postsub,14.3491128685741
1855,current_average_postsub,14.3491128685741
1856,current_average_postsub,14.3491128685741
1857,current_average_postsub,14.3491128685741
1858,current_average_postsub,14.3491128685741
1859,current_average_postsub,14.3491128685741
1860,current_average_postsub,14.3491128685741
1861,current_average_postsub,14.3491128685741
1862,current_average_postsub,14.3491128685741
1863,current_average_postsub,14.3491128685741
1864,current_average_postsub,14.3491128685741
1865,current_average_postsub,14.3491128685741
1866,current_average_postsub,14.3491128685741
1867,current_average_postsub,14.3491128685741
1868,current_average_postsub,14.3491128685741
1869,current_average_postsub,14.3491128685741
1870,current_average_postsub,14.3491128685741
1871,current_average_postsub,14.3491128685741
1872,current_average_postsub,14.3491128685741
1873,current_average_postsub,14.3491128685741
1874,current_average_postsub,14.3491128685741
1875,current_average_postsub,14.3491128685741
1876,current_average_postsub,14.3491128685741
1877,current_average_postsub,14.3491128685741
1878,current_average_postsub,14.3491128685741
1879,current_average_postsub,14.3491128685741
1880,current_average_postsub,14.3491128685741
1881,current_average_postsub,14.3491128685741
1882,current_average_postsub,14.3491128685741
1883,current_average_postsub,14.3491128685741
1884,current_average_postsub,14.3491128685741
1885,current_average_postsub,14.3491128685741
1886,current_average_postsub,14.3491128685741
1887,current_average_postsub,14.3491128685741
1888,current_average_postsub,14.3491128685741
1889,current_average_postsub,14.3491128685741
1890,current_average_postsub,14.3491128685741
1891,current_average_postsub,14.3491128685741
1892,current_average_postsub,14.3491128685741
1893,current_average_postsub,14.3491128685741
1894,current_average_postsub,14.3491128685741
1895,current_average_postsub,14.3491128685741
1896,current_average_postsub,14.3491128685741
1897,current_average_postsub,14.3491128685741
1898,current_average_postsub,14.3491128685741
1899,current_average_postsub,14.3491128685741
1900,current_average_postsub,14.3491128685741
1901,current_average_postsub,14.3491128685741
1902,current_average_postsub,14.3491128685741
1903,current_average_postsub,14.3491128685741
1904,current_average_postsub,14.3491128685741
1905,current_average_postsub,14.3491128685741
1906,current_average_postsub,14.3491128685741
1907,current_average_postsub,14.3491128685741
1908,current_average_postsub,14.3491128685741
1909,current_average_postsub,14.3491128685741
1910,current_average_postsub,14.3491128685741
1911,current_average_postsub,14.3491128685741
1912,current_average_postsub,14.3491128685741
1913,current_average_postsub,14.3491128685741
1914,current_average_postsub,14.3491128685741
1915,current_average_postsub,14.3491128685741
1916,current_average_postsub,14.3491128685741
1917,current_average_postsub,14.3491128685741
1918,current_average_postsub,14.3491128685741
1919,current_average_postsub,14.3491128685741
1920,current_average_postsub,14.3491128685741
1921,current_average_postsub,14.3491128685741
1922,current_average_postsub,14.3491128685741
1923,current_average_postsub,14.3491128685741
1924,current_average_postsub,14.3491128685741
1925,current_average_postsub,14.3491128685741
1926,current_average_postsub,14.3491128685741
1927,current_average_postsub,14.3491128685741
1928,current_average_postsub,14.3491128685741
1929,current_average_postsub,14.3491128685741
1930,current_average_postsub,14.3491128685741
1931,current_average_postsub,14.3491128685741
1932,current_average_postsub,14.3491128685741
1933,current_average_postsub,14.3491128685741
1934,current_average_postsub,14.3491128685741
1935,current_average_postsub,14.3491128685741
1936,current_average_postsub,14.3491128685741
1937,current_average_postsub,14.3491128685741
1938,current_average_postsub,14.3491128685741
1939,current_average_postsub,14.3491128685741
1940,current_average_postsub,14.3491128685741
1941,current_average_postsub,14.3491128685741
1942,current_average_postsub,14.3491128685741
1943,current_average_postsub,14.3491128685741
1944,current_average_postsub,14.3491128685741
1945,current_average_postsub,14.3491128685741
1946,current_average_postsub,14.3491128685741
1947,current_average_postsub,14.3491128685741
1948,current_average_postsub,14.3491128685741
1949,current_average_postsub,14.3491128685741
1950,current_average_postsub,14.3491128685741
1951,current_average_postsub,14.3491128685741
1952,current_average_postsub,14.3491128685741
1953,current_average_postsub,14.3491128685741
1954,current_average_postsub,14.3491128685741
1955,current_average_postsub,14.3491128685741
1956,current_average_postsub,14.3491128685741
1957,current_average_postsub,14.3491128685741
1958,current_average_postsub,14.3491128685741
1959,current_average_postsub,14.3491128685741
1960,current_average_postsub,14.3491128685741
1961,current_average_postsub,14.3491128685741
1962,current_average_postsub,14.3491128685741
1963,current_average_postsub,14.3491128685741
1964,current_average_postsub,14.3491128685741
1965,current_average_postsub,14.3491128685741
1966,current_average_postsub,14.3491128685741
1967,current_average_postsub,14.3491128685741
1968,current_average_postsub,14.3491128685741
1969,current_average_postsub,14.3491128685741
1970,current_average_postsub,14.3491128685741
1971,current_average_postsub,14.3491128685741
1972,current_average_postsub,14.3491128685741
1973,current_average_postsub,14.3491128685741
1974,current_average_postsub,14.3491128685741
1975,current_average_postsub,14.3491128685741
1976,current_average_postsub,14.3491128685741
1977,current_average_postsub,14.3491128685741
1978,current_average_postsub,14.3491128685741
1979,current_average_postsub,14.3491128685741
1980,current_average_postsub,14.3491128685741
1981,current_average_postsub,14.3491128685741
1982,current_average_postsub,14.3491128685741
1983,current_average_postsub,14.3491128685741
1984,current_average_postsub,14.3491128685741
1985,current_average_postsub,14.3491128685741
1986,current_average_postsub,14.3491128685741
1987,current_average_postsub,14.3491128685741
1988,current_average_postsub,14.3491128685741
1989,current_average_postsub,14.3491128685741
1990,current_average_postsub,14.3491128685741
1991,current_average_postsub,14.3491128685741
1992,current_average_postsub,14.3491128685741
1993,current_average_postsub,14.3491128685741
1994,current_average_postsub,14.3491128685741
1995,current_average_postsub,14.3491128685741
1996,current_average_postsub,14.3491128685741
1997,current_average_postsub,14.3491128685741
1998,current_average_postsub,14.3491128685741
1999,current_average_postsub,14.3491128685741
2000,current_average_postsub,14.3491128685741
2001,current_average_postsub,14.3491128685741
2002,current_average_postsub,14.3491128685741
2003,current_average_postsub,14.3491128685741
2004,current_average_postsub,14.3491128685741
2005,current_average_postsub,14.3491128685741
2006,current_average_postsub,14.3491128685741
2007,current_average_postsub,14.3491128685741
2008,current_average_postsub,14.3491128685741
2009,current_average_postsub,14.3491128685741
2010,current_average_postsub,14.3491128685741
2011,current_average_postsub,14.3491128685741
2012,current_average_postsub,14.3491128685741
2013,current_average_postsub,14.3491128685741
2014,current_average_postsub,14.3491128685741
2015,current_average_postsub,14.3491128685741
2016,current_average_postsub,14.3491128685741
2017,current_average_postsub,14.3491128685741
2018,current_average_postsub,14.3491128685741
2019,current_average_postsub,14.3491128685741
2020,current_average_postsub,14.3491128685741
2021,current_average_postsub,14.3491128685741
2022,current_average_postsub,14.3491128685741
2023,current_average_postsub,14.3491128685741
2024,current_average_postsub,14.3491128685741
2025,current_average_postsub,14.3491128685741
2025,current_average_postsub,14.3491128685741
1790,current_average_presub,16.8777713913239
1791,current_average_presub,16.8777713913239
1792,current_average_presub,16.8777713913239
1793,current_average_presub,16.8777713913239
1794,current_average_presub,16.8777713913239
1795,current_average_presub,16.8777713913239
1796,current_average_presub,16.8777713913239
1797,current_average_presub,16.8777713913239
1798,current_average_presub,16.8777713913239
1799,current_average_presub,16.8777713913239
1800,current_average_presub,16.8777713913239
1801,current_average_presub,16.8777713913239
1802,current_average_presub,16.8777713913239
1803,current_average_presub,16.8777713913239
1804,current_average_presub,16.8777713913239
1805,current_average_presub,16.8777713913239
1806,current_average_presub,16.8777713913239
1807,current_average_presub,16.8777713913239
1808,current_average_presub,16.8777713913239
1809,current_average_presub,16.8777713913239
1810,current_average_presub,16.8777713913239
1811,current_average_presub,16.8777713913239
1812,current_average_presub,16.8777713913239
1813,current_average_presub,16.8777713913239
1814,current_average_presub,16.8777713913239
1815,current_average_presub,16.8777713913239
1816,current_average_presub,16.8777713913239
1817,current_average_presub,16.8777713913239
1818,current_average_presub,16.8777713913239
1819,current_average_presub,16.8777713913239
1820,current_average_presub,16.8777713913239
1821,current_average_presub,16.8777713913239
1822,current_average_presub,16.8777713913239
1823,current_average_presub,16.8777713913239
1824,current_average_presub,16.8777713913239
1825,current_average_presub,16.8777713913239
1826,current_average_presub,16.8777713913239
1827,current_average_presub,16.8777713913239
1828,current_average_presub,16.8777713913239
1829,current_average_presub,16.8777713913239
1830,current_average_presub,16.8777713913239
1831,current_average_presub,16.8777713913239
1832,current_average_presub,16.8777713913239
1833,current_average_presub,16.8777713913239
1834,current_average_presub,16.8777713913239
1835,current_average_presub,16.8777713913239
1836,current_average_presub,16.8777713913239
1837,current_average_presub,16.8777713913239
1838,current_average_presub,16.8777713913239
1839,current_average_presub,16.8777713913239
1840,current_average_presub,16.8777713913239
1841,current_average_presub,16.8777713913239
1842,current_average_presub,16.8777713913239
1843,current_average_presub,16.8777713913239
1844,current_average_presub,16.8777713913239
1845,current_average_presub,16.8777713913239
1846,current_average_presub,16.8777713913239
1847,current_average_presub,16.8777713913239
1848,current_average_presub,16.8777713913239
1849,current_average_presub,16.8777713913239
1850,current_average_presub,16.8777713913239
1851,current_average_presub,16.8777713913239
1852,current_average_presub,16.8777713913239
1853,current_average_presub,16.8777713913239
1854,current_average_presub,16.8777713913239
1855,current_average_presub,16.8777713913239
1856,current_average_presub,16.8777713913239
1857,current_average_presub,16.8777713913239
1858,current_average_presub,16.8777713913239
1859,current_average_presub,16.8777713913239
1860,current_average_presub,16.8777713913239
1861,current_average_presub,16.8777713913239
1862,current_average_presub,16.8777713913239
1863,current_average_presub,16.8777713913239
1864,current_average_presub,16.8777713913239
1865,current_average_presub,16.8777713913239
1866,current_average_presub,16.8777713913239
1867,current_average_presub,16.8777713913239
1868,current_average_presub,16.8777713913239
1869,current_average_presub,16.8777713913239
1870,current_average_presub,16.8777713913239
1871,current_average_presub,16.8777713913239
1872,current_average_presub,16.8777713913239
1873,current_average_presub,16.8777713913239
1874,current_average_presub,16.8777713913239
1875,current_average_presub,16.8777713913239
1876,current_average_presub,16.8777713913239
1877,current_average_presub,16.8777713913239
1878,current_average_presub,16.8777713913239
1879,current_average_presub,16.8777713913239
1880,current_average_presub,16.8777713913239
1881,current_average_presub,16.8777713913239
1882,current_average_presub,16.8777713913239
1883,current_average_presub,16.8777713913239
1884,current_average_presub,16.8777713913239
1885,current_average_presub,16.8777713913239
1886,current_average_presub,16.8777713913239
1887,current_average_presub,16.8777713913239
1888,current_average_presub,16.8777713913239
1889,current_average_presub,16.8777713913239
1890,current_average_presub,16.8777713913239
1891,current_average_presub,16.8777713913239
1892,current_average_presub,16.8777713913239
1893,current_average_presub,16.8777713913239
1894,current_average_presub,16.8777713913239
1895,current_average_presub,16.8777713913239
1896,current_average_presub,16.8777713913239
1897,current_average_presub,16.8777713913239
1898,current_average_presub,16.8777713913239
1899,current_average_presub,16.8777713913239
1900,current_average_presub,16.8777713913239
1901,current_average_presub,16.8777713913239
1902,current_average_presub,16.8777713913239
1903,current_average_presub,16.8777713913239
1904,current_average_presub,16.8777713913239
1905,current_average_presub,16.8777713913239
1906,current_average_presub,16.8777713913239
1907,current_average_presub,16.8777713913239
1908,current_average_presub,16.8777713913239
1909,current_average_presub,16.8777713913239
1910,current_average_presub,16.8777713913239
1911,current_average_presub,16.8777713913239
1912,current_average_presub,16.8777713913239
1913,current_average_presub,16.8777713913239
1914,current_average_presub,16.8777713913239
1915,current_average_presub,16.8777713913239
1916,current_average_presub,16.8777713913239
1917,current_average_presub,16.8777713913239
1918,current_average_presub,16.8777713913239
1919,current_average_presub,16.8777713913239
1920,current_average_presub,16.8777713913239
1921,current_average_presub,16.8777713913239
1922,current_average_presub,16.8777713913239
1923,current_average_presub,16.8777713913239
1924,current_average_presub,16.8777713913239
1925,current_average_presub,16.8777713913239
1926,current_average_presub,16.8777713913239
1927,current_average_presub,16.8777713913239
1928,current_average_presub,16.8777713913239
1929,current_average_presub,16.8777713913239
1930,current_average_presub,16.8777713913239
1931,current_average_presub,16.8777713913239
1932,current_average_presub,16.8777713913239
1933,current_average_presub,16.8777713913239
1934,current_average_presub,16.8777713913239
1935,current_average_presub,16.8777713913239
1936,current_average_presub,16.8777713913239
1937,current_average_presub,16.8777713913239
1938,current_average_presub,16.8777713913239
1939,current_average_presub,16.8777713913239
1940,current_average_presub,16.8777713913239
1941,current_average_presub,16.8777713913239
1942,current_average_presub,16.8777713913239
1943,current_average_presub,16.8777713913239
1944,current_average_presub,16.8777713913239
1945,current_average_presub,16.8777713913239
1946,current_average_presub,16.8777713913239
1947,current_average_presub,16.8777713913239
1948,current_average_presub,16.8777713913239
1949,current_average_presub,16.8777713913239
1950,current_average_presub,16.8777713913239
1951,current_average_presub,16.8777713913239
1952,current_average_presub,16.8777713913239
1953,current_average_presub,16.8777713913239
1954,current_average_presub,16.8777713913239
1955,current_average_presub,16.8777713913239
1956,current_average_presub,16.8777713913239
1957,current_average_presub,16.8777713913239
1958,current_average_presub,16.8777713913239
1959,current_average_presub,16.8777713913239
1960,current_average_presub,16.8777713913239
1961,current_average_presub,16.8777713913239
1962,current_average_presub,16.8777713913239
1963,current_average_presub,16.8777713913239
1964,current_average_presub,16.8777713913239
1965,current_average_presub,16.8777713913239
1966,current_average_presub,16.8777713913239
1967,current_average_presub,16.8777713913239
1968,current_average_presub,16.8777713913239
1969,current_average_presub,16.8777713913239
1970,current_average_presub,16.8777713913239
1971,current_average_presub,16.8777713913239
1972,current_average_presub,16.8777713913239
1973,current_average_presub,16.8777713913239
1974,current_average_presub,16.8777713913239
1975,current_average_presub,16.8777713913239
1976,current_average_presub,16.8777713913239
1977,current_average_presub,16.8777713913239
1978,current_average_presub,16.8777713913239
1979,current_average_presub,16.8777713913239
1980,current_average_presub,16.8777713913239
1981,current_average_presub,16.8777713913239
1982,current_average_presub,16.8777713913239
1983,current_average_presub,16.8777713913239
1984,current_average_presub,16.8777713913239
1985,current_average_presub,16.8777713913239
1986,current_average_presub,16.8777713913239
1987,current_average_presub,16.8777713913239
1988,current_average_presub,16.8777713913239
1989,current_average_presub,16.8777713913239
1990,current_average_presub,16.8777713913239
1991,current_average_presub,16.8777713913239
1992,current_average_presub,16.8777713913239
1993,current_average_presub,16.8777713913239
1994,current_average_presub,16.8777713913239
1995,current_average_presub,16.8777713913239
1996,current_average_presub,16.8777713913239
1997,current_average_presub,16.8777713913239
1998,current_average_presub,16.8777713913239
1999,current_average_presub,16.8777713913239
2000,current_average_presub,16.8777713913239
2001,current_average_presub,16.8777713913239
2002,current_average_presub,16.8777713913239
2003,current_average_presub,16.8777713913239
2004,current_average_presub,16.8777713913239
2005,current_average_presub,16.8777713913239
2006,current_average_presub,16.8777713913239
2007,current_average_presub,16.8777713913239
2008,current_average_presub,16.8777713913239
2009,current_average_presub,16.8777713913239
2010,current_average_presub,16.8777713913239
2011,current_average_presub,16.8777713913239
2012,current_average_presub,16.8777713913239
2013,current_average_presub,16.8777713913239
2014,current_average_presub,16.8777713913239
2015,current_average_presub,16.8777713913239
2016,current_average_presub,16.8777713913239
2017,current_average_presub,16.8777713913239
2018,current_average_presub,16.8777713913239
2019,current_average_presub,16.8777713913239
2020,current_average_presub,16.8777713913239
2021,current_average_presub,16.8777713913239
2022,current_average_presub,16.8777713913239
2023,current_average_presub,16.8777713913239
2024,current_average_presub,16.8777713913239
2025,current_average_presub,16.8777713913239
2025,current_average_presub,16.8777713913239
